Ranking,เขต,คะแนน,รวมทั้งหมด,พื้นที่สาธารณะและพื้นที่ส่วนบุคคล,พื้นที่สาธารณะ,พื้นที่ส่วนบุคคล,สถานที่ราชการ,วัด,รัฐวิสาหกิจ,elsewhere,สะพานลอย,ป้ายรถเมล์,สวนสาธารณะ,shelter,พื้นที่รกร้าง,อาคารการค้า,สถานบันเทิง,สะพาน,ถนน,สะพานและรถ,ทางเท้า,ซอย,หมู่บ้าน,สถานที่ท่องเที่ยว,สถาบันการศึกษา,รัฐบาล,ทางแยก,ท่าเรือ,ทางเดินริมน้ำ,ทางเท้าและซอย,สวนใต้สะพาน,สถานีรถไฟฟ้า,อุโมงค์ลอดใต้ถนน,ศูนย์กีฬา,สถานีขนส่ง,สถานที่ทางศาสนา,อื่นๆ,พื้นที่เปลี่ยวกลางคืน,พื้นที่เปลี่ยวกลางวัน,จุดบอด,พื้นที่ว่าง,พื้นที่สกปรก,อาคารเก่า,เสาไฟเสียหาย,กีดขวางการจราจร,คนไร้บ้าน,พื้นที่มั่วสุม,การทำร้ายร่างกาย,กรรโชกทรัพย์,อุบัติเหตุทางถนน,อุบัติเหตุบนทางเท้า,อุบัติเหตุจากไฟฟ้า,อุบัติเหตุจากป้าย,อุบัติเหตุจากต้นไม้,อุบัติเหตุอื่น ๆ,ก่อกวน/ยกพวกตีกัน/แข่งรถ,ประชาชนจำนวนมาก/พลุกพล่าน,ภัยอันตรายจากสัตว์มีพิษ,สถานที่สำคัญ,ความเสี่ยงอื่นๆ,แหล่งเฝ้าระวัง,พื้นที่ทำความสะอาด,พื้นที่ตัดต้นไม้,พื้นที่ปรับภูมิทัศน์,demolish
38,คลองสาน,13,94,22,20,2,0,0,0,0,5,1,4,0,1,0,0,0,0,0,2,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,0
39,หนองแขม,12,94,13,10,1,2,0,0,0,5,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4,1,0
40,วังทองหลาง,11,100,14,14,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,12,6,3,2,1,3,0,0,2,2,2,1,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0
41,บางซื่อ,10,107,14,8,1,3,0,2,0,3,1,2,0,2,0,0,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,7,4,2,0,0,0,1,4,0,0,1,0,0,0,0,0,2,0,0,0,0,14,3,6,1,0
42,บางขุนเทียน,9,113,20,18,0,0,1,0,0,0,2,1,0,0,0,0,1,6,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,12,3,1,0,0,1,5,1,0,4,4,6,0,2,0,0,0,0,2,0,0,0,0,10,1,0,3,0
43,ดอนเมือง,8,119,18,18,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,0
44,หนองจอก,7,121,26,18,6,2,0,0,0,4,0,0,0,1,5,0,0,7,0,0,5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,12,2,0,1,0,0,2,0,0,0,0,0,0,6,0,1,0,9,0,0,0,0
45,บางกอกน้อย,6,122,22,22,0,0,0,0,0,1,1,1,0,0,0,0,0,2,12,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,16,2,5,1,1,0,10,1,3,3,0,2,3,0,0,0,2,0,1,0,0,0,0,4,1,0,0,1
46,จตุจักร,5,127,12,9,1,2,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,6,2,4,2,7,5,4,4,5,7,0,1,0,0,2,0,3,0,1,0,0,9,2,8,7,1
47,ทุ่งครุ,4,129,21,12,1,8,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,8,0,4,0,2,1,0,0,0,0,0,0,0,21,1,3,0,3,2,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,19,3,2,3,1
48,ภาษีเจริญ,3,132,22,22,0,0,0,0,0,15,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
49,บางรัก,2,151,23,13,5,5,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,7,0,1,0,0,8,0,0,0,0,0,0,0,15,0,8,0,0,0,8,0,2,1,0,1,7,7,0,0,0,0,7,0,0,0,0,16,0,9,0,0
50,บางคอแหลม,1,156,25,12,7,6,0,0,0,3,0,2,0,5,0,0,0,6,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,24,0,12,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,16,0,6,1,1
