ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
30,ถนน,ถนนเจริญกรุง,ถนนเฟื่องนคร,ถนนตีทอง,20.80,0.2088,1998-12-02,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนตีทอง,ถนนบูรพา,20.50,0.1214,1998-12-02,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนบูรพา,คลองโอ่งอ่าง,20.70,0.2084,1998-12-02,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,สะพานดำรงค์สถิตย์,ถนนพระรามที่ 4,17.30-19.60,1.15,2001-02-12,"ป้อมปราบศัตรูพ่าย,สัมพันธวงศ์",สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนพระรามที่ 4,คลองผดุงกรุงเกษม,15.80-18.40,1,2001-02-12,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนมหาพฤฒาราม,ถนนสาทรเหนือ,16.35-17.25,1.05,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนสาทรใต้ (สุดเขตพื้นที่),คลองกรวย,17.00-17.30,0.934,2002-05-15,สาทร,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,คลองกรวย,สุดถนน,17.50-30.00,2.907,2002-03-07,บางคอแหลม,สำนักการโยธา,กรุงเทพมหานคร
31,ถนน,ถนนเจริญนคร,คลองบางใส่ไก่ (สะพานเจริญนคร 5),ถนนลาดหญ้า,30.00,2.82,1998-12-29,คลองสาน,สำนักการโยธา,กรุงเทพมหานคร
31,ถนน,ถนนเจริญนคร,คลองบางไส้ไก่,คลองดาวคะนอง (สุดเขตธนบุรี),30.00,1.981,1998-12-29,ธนบุรี,สำนักการโยธา,กรุงเทพมหานคร
