ROAD_NAME,DISTRICT,LENGTH
ถนนเจริญรัถ,คลองสาน,1.78
ถนนเจริญราษฎร์,บางคอแหลม,1.8
ถนนเจริญราษฎร์,สาทร,1.517
ถนนเจริญเมือง,ปทุมวัน,0.23
ถนนเจ้าคุณทหาร,ลาดกระบัง,5.025
ถนนเจ้าฟ้า,พระนคร,0.57
ถนนเฉลิมพงษ์,สายไหม,0.996
ถนนเฉลิมพระเกียรติ ร.9,ประเวศ,9.76
ถนนเชื่อมคลองมอญ,ลาดกระบัง,1.623
ถนนเชื่อมสัมพันธ์,หนองจอก,0.5469999999999999
ถนนเดโช,บางรัก,0.266
ถนนเตชะวณิช,ดุสิต,0.77
ถนนเตชะวณิช,บางซื่อ,0.8
ถนนเทพรักษ์,บางเขน,3.505
ถนนเทพรักษ์,สายไหม,1.7
ถนนเทศบาลสงเคราะห์ (ถนนประชานิเวศน์ 1),จตุจักร,1.687
ถนนเทอดไท,ธนบุรี,2.76
ถนนเทอดไท,บางแค,2.65
ถนนเทอดไท,ภาษีเจริญ,11.32
ถนนเพชรบุรี,ราชเทวี,1.74
ถนนเพชรบุรีตัดใหม่,สวนหลวง,3.5
ถนนเพชรบุรีตัดใหม่,ห้วยขวาง,7.291
ถนนเพชรพระราม (ถนนเลียบคลองแสนแสบ),ห้วยขวาง,0.8
ถนนเพชรอุทัย (ถนนเลียบคลองบางกะปิ),ห้วยขวาง,8.52
ถนนเพชรเกษม,บางกอกใหญ่,3.197
ถนนเพชรเกษม,บางแค,10.569
ถนนเพชรเกษม,ภาษีเจริญ,4.75
ถนนเพชรเกษม,หนองแขม,6.075
ถนนเพลินจิต,ปทุมวัน,1.123
ถนนเฟื่องนคร,พระนคร,0.46
ถนนเยาวราช,พระนคร,0.198
ถนนเยาวราช,สัมพันธวงศ์,2.864
ถนนเย็นจิต,สาทร,0.59
ถนนเย็นอากาศ,ยานนาวา,1.24
ถนนเย็นอากาศ,สาทร,1.08
ถนนเลียบคลองภาษีเจริญฝั่งเหนือ,หนองแขม,5.3
ถนนเลียบคลองภาษีเจริญฝั่งใต้,หนองแขม,4.95
ถนนเลียบคลองมอญ,ลาดกระบัง,4.814
